osm_id,registered_name,category_group,specific_type,latitude,longitude,district
657719272,"Abaarso School of Science and Technology","Universities & Education",school,9.61512,43.87438,"Hargeisa"
1376931545,"Hargisa School (Sudani)","Universities & Education",school,9.54307,44.07699,"Jameeco Weyn"
304929007,"Mahmuud AhmedAli Secondary School","Universities & Education",school,9.54998,44.0746,"Burco Duurrey"
1376931544,"Hamdan School U.S.E","Universities & Education",school,9.54379,44.07699,"Jameeco Weyn"
305183596,"Xalane old School","Universities & Education",yes,9.55256,44.06731,"Makamed Cali محمد علي"
322742968,"GuriSamo Primary school","Universities & Education",school,9.55649,44.07203,"Sheekh Madar الشيخ مدر"
3693601592,"Kuweyt Boarding School","Universities & Education",school,9.56923,44.13496,"Texas تكساس"
587203749,"Gollis University Road","Universities & Education",residential,9.56105,44.03846,"Lixle الحلي"
4692077889,"New generation university collage","Universities & Education",library,9.57525,44.03576,"Guul Ala"
4692078289,"New generation university","Universities & Education",community_centre,9.57529,44.03514,"Guul Ala"
6293304989,"XAWAALADA TAAJ H.university","Universities & Education",bank,9.54735,44.0477,"Texas تكساس"
2789918417,"Gollis University","Universities & Education",university,9.56199,44.03816,"Guul Ala"
1254584517,"Damal Restaurant Hargeisa","Restaurants & Dining",restaurant,9.56262,44.06517,"Sheekh Madar الشيخ مدر"
319413613,"Kaah Restaurant","Restaurants & Dining",restaurant,9.56026,44.11582,"Texas تكساس"
850097928,"Nada Restaurant","Restaurants & Dining",restaurant,9.57991,44.0336,"Jigjiga Yar"
1376931559,"SABAXARED RESTAURANT","Restaurants & Dining",restaurant,9.55126,44.07532,"Jameeco Weyn"
1104353787,"Camel Restaurant","Restaurants & Dining",restaurant,9.56073,44.09014,"Texas تكساس"
5001908524,"Hiddo Dhawr cultural restaurant","Restaurants & Dining",restaurant,9.55231,44.04757,"Texas تكساس"
3593965256,"Mediterranean Restaurant مطعم متوسطي","Restaurants & Dining",restaurant,9.51866,44.07046,"Hargeisa"
4463847518,"Friendship Ethiopian Restaurant","Restaurants & Dining",restaurant,9.57077,44.03514,"Guul Ala"
4296105891,"Saba Restaurant","Restaurants & Dining",restaurant,9.56281,44.04526,"Lixle الحلي"
3586339621,"Golden Restaurant and Cafe","Restaurants & Dining",restaurant,9.56097,44.08831,"Texas تكساس"
3258263490,"Shiraaqle Restaurant","Restaurants & Dining",restaurant,9.56195,44.10089,"Hargeisa"
7252873485,"Restaurant yéménite","Restaurants & Dining",restaurant,9.53379,44.07569,"Jameeco Weyn"
2203587738,"Dalxiis Restaurant","Restaurants & Dining",restaurant,9.55709,44.06807,"Sheekh Madar الشيخ مدر"
4463545266,"Summertime Restuarent","Restaurants & Dining",restaurant,9.56181,44.03778,"Guul Ala"
4463266900,"Peace Cafe مقهى السلام","Restaurants & Dining",cafe,9.55286,44.0484,"Texas تكساس"
4463849465,"Kings Cafe","Restaurants & Dining",cafe,9.57273,44.03512,"Guul Ala"
9277205459,"Kulan Cafe","Restaurants & Dining",cafe,9.53685,44.07731,"Jameeco Weyn"
5341078221,"كافيه لاين","Restaurants & Dining",cafe,9.5623,44.0605,"Almis"
4874557521,"Premier Bank","Corporate & Banking",bank,9.56148,44.05898,"Lixle الحلي"
4872142625,"Salaam Bank","Corporate & Banking",bank,9.56122,44.06504,"Lixle الحلي"
2376106077,"Central Bank","Corporate & Banking",bank,9.56184,44.06384,"Lixle الحلي"
1138798674,"Bank of Somaliland","Corporate & Banking",bank,9.56182,44.0653,"Lixle الحلي"
6284376986,"XAWAALADA TAAJ new Hargeisa","Corporate & Banking",bank,9.56236,44.08473,"Texas تكساس"
4715733590,"بنك دهب شيل","Corporate & Banking",bank,9.56194,44.06479,"Lixle الحلي"
369360201,"Shiraaqle Supermarket","Markets, Malls & Supermarkets",supermarket,9.56057,44.11579,"Texas تكساس"
7810671407,"Indho Birta Supermarket","Markets, Malls & Supermarkets",supermarket,9.57116,44.06189,"Udan"
7866354869,"Alloore supermarket & dry-cleaning","Markets, Malls & Supermarkets",supermarket,9.52368,44.07416,"Jameeco Weyn"
1544987456,"CIIR Mall","Markets, Malls & Supermarkets",mall,9.5237,44.06407,"Hargeisa"
865221281,"Waafi Mall","Markets, Malls & Supermarkets",commercial,9.5758,44.0345,"Guul Ala"
5676161822,"Guled Mall","Markets, Malls & Supermarkets",company,9.56124,44.06988,"Sheekh Madar الشيخ مدر"
6289232285,"XAWAALADA TAAJ","Markets, Malls & Supermarkets",bank,9.56138,44.05842,"Almis"
871991602,"Baante Pharmacy","Hospitals & Healthcare",pharmacy,9.55149,44.04285,"Guul Ala"
202396173,"Cajab Fuel Station","Transit & Services",yes,9.56182,44.06343,"Lixle الحلي"
7128315585,"Sky Motors","Transit & Services",car,9.56147,44.09614,"Texas تكساس"
1557758077,"Downtown Bus Station","Transit & Services",bus_station,9.56074,44.06499,"Sheekh Madar الشيخ مدر"
1138799090,"Harageisa Bus Station","Transit & Services",bus_station,9.56293,44.06737,"Lixle الحلي"
3191273858,"Hargeisa Police HQ مقر شرطة هرجيسا","Government & Embassies",police,9.55385,44.05168,"Baxday بحدي"
449363192,"Criminal Investigation Department (CID) Somaliand Police Force","Government & Embassies",police,9.56064,44.04918,"Lixle الحلي"
6066030885,"Police Station","Government & Embassies",police,9.56054,44.07346,"Texas تكساس"
4463244374,"SPU (Special Protection Unit) & RRU (Rapid Response Unit) compound, Somaliland Police Force","Government & Embassies",police,9.5522,44.05073,"Texas تكساس"
8930352344,"Iftin Police Station","Government & Embassies",police,9.55203,44.06782,"Makamed Cali محمد علي"
4715776389,"مركز شرطة وسط البلد","Government & Embassies",police,9.56027,44.06478,"Sheekh Madar الشيخ مدر"
5470310921,"Djibouti embassy","Government & Embassies",diplomatic,9.52183,44.06713,"Hargeisa"
4284621889,"Embassy of Ethiopia","Government & Embassies",diplomatic,9.55979,44.05132,"Lixle الحلي"
586315065,"Mosque","Mosques & Landmarks",place_of_worship,9.55284,44.09194,"Sheekh Madar الشيخ مدر"
